time_key,hour,minute,period,is_peak_hour
600,6,0,morning,0
630,6,30,morning,0
700,7,0,morning,1
730,7,30,morning,1
800,8,0,morning,1
830,8,30,morning,1
900,9,0,morning,1
930,9,30,morning,1
1000,10,0,morning,0
1030,10,30,morning,0
1100,11,0,morning,0
1130,11,30,morning,0
1200,12,0,afternoon,1
1230,12,30,afternoon,1
1300,13,0,afternoon,1
1330,13,30,afternoon,1
1400,14,0,afternoon,0
1430,14,30,afternoon,0
1500,15,0,afternoon,0
1530,15,30,afternoon,0
1600,16,0,afternoon,0
1630,16,30,afternoon,0
1700,17,0,evening,1
1730,17,30,evening,1
1800,18,0,evening,1
1830,18,30,evening,1
1900,19,0,evening,0
1930,19,30,evening,0
2000,20,0,evening,0
2030,20,30,evening,0
2100,21,0,evening,0
2130,21,30,evening,0
2200,22,0,evening,0
2230,22,30,evening,0
